name,year,reclat,reclong,mass
Elephant Moraine 90290,1990,-76.28102,156.46548,47.5
Elephant Moraine 90291,1990,-76.27142,156.45602,11.1
Elephant Moraine 90292,1990,-76.27981,156.4314,20.4
Elephant Moraine 90293,1990,-76.28773,156.42168,13.4
Elephant Moraine 90294,1990,-76.28101,156.43283,14.5
Elephant Moraine 90295,1990,-76.28202,156.43584,12.4
Elephant Moraine 90296,1990,-76.28053,156.4526,11.0
Elephant Moraine 90297,1990,-76.27985,156.43558,15.4
Elephant Moraine 90298,1990,-76.28141,156.42888,7.5
Elephant Moraine 90299,1990,-76.27922,156.44325,8.1
Elephant Moraine 90300,1990,-76.27953,156.46623,45.1
Elephant Moraine 90301,1990,-76.28119,156.47879,23.5
Elephant Moraine 90302,1990,-76.27988,156.43893,34.9
Elephant Moraine 90303,1990,-76.26602,156.45993,8.0
Elephant Moraine 90304,1990,-76.26602,156.45969,16.4
Elephant Moraine 90305,1990,-76.26685,156.4609,15.0
Elephant Moraine 90306,1990,-76.28115,156.47163,11.2
Elephant Moraine 90307,1990,-76.28772,156.47867,25.6
Elephant Moraine 90308,1990,-76.27961,156.43112,48.4
Elephant Moraine 90309,1990,-76.28062,156.43803,36.5
Elephant Moraine 90310,1990,-76.28496,156.42746,21.1
Elephant Moraine 90311,1990,-76.281,156.47334,55.4
Elephant Moraine 90312,1990,-76.26909,156.45544,5.4
Elephant Moraine 90313,1990,-76.28084,156.47723,27.5
Elephant Moraine 90314,1990,-76.27347,156.47667,18.4
Elephant Moraine 90315,1990,-76.28788,156.4229,21.3
Elephant Moraine 90316,1990,-76.2797,156.47386,76.9
Elephant Moraine 90317,1990,-76.28105,156.47272,22.7
Elephant Moraine 90318,1990,-76.28094,156.43262,10.9
Elephant Moraine 90319,1990,-76.26689,156.46065,13.7
Elephant Moraine 90320,1990,-76.28592,156.44383,6.3
Elephant Moraine 90321,1990,-76.27135,156.45265,50.1
Elephant Moraine 90322,1990,-76.27196,156.45114,6.5
Elephant Moraine 90323,1990,-76.27919,156.43433,16.8
Elephant Moraine 90324,1990,-76.28113,156.43051,9.4
Elephant Moraine 90325,1990,-76.28859,156.41788,10.0
